1	22	5	0	0
1	22	6	0	0
1	22	7	0	0
1	22	8	27	22
1	22	9	69	55
1	22	10	156	124
1	22	11	357	179
1	22	12	441	163
1	22	13	420	179
1	22	14	388	156
1	22	15	344	92
1	22	16	167	98
1	22	17	51	29
1	22	18	0	0
1	22	19	0	0
1	22	20	0	0
1	22	21	0	0
1	22	22	0	0
1	22	23	0	0
1	22	24	0	0
1	23	1	0	0
1	23	2	0	0
1	23	3	0	0
1	23	4	0	0
1	23	5	0	0
1	23	6	0	0
1	23	7	0	0
1	23	8	29	18
1	23	9	54	34
1	23	10	261	127
1	23	11	284	166
1	23	12	376	172
1	23	13	255	162
1	23	14	299	167
1	23	15	203	126
1	23	16	125	79
1	23	17	40	25
1	23	18	0	0
1	23	19	0	0
1	23	20	0	0
1	23	21	0	0
1	23	22	0	0
1	23	23	0	0
1	23	24	0	0
1	24	1	0	0
1	24	2	0	0
1	24	3	0	0
1	24	4	0	0
1	24	5	0	0
1	24	6	0	0
1	24	7	0	0
1	24	8	48	38
1	24	9	111	101
1	24	10	239	191
1	24	11	341	225
1	24	12	523	106
1	24	13	523	106
1	24	14	466	104
1	24	15	359	96
1	24	16	213	79
1	24	17	55	35
1	24	18	0	0
1	24	19	0	0
1	24	20	0	0
1	24	21	0	0
1	24	22	0	0
1	24	23	0	0
1	24	24	0	0
1	25	1	0	0
1	25	2	0	0
1	25	3	0	0
1	25	4	0	0
1	25	5	0	0
1	25	6	0	0
1	25	7	0	0
1	25	8	57	38
1	25	9	219	81
1	25	10	363	101
1	25	11	470	109
1	25	12	500	143
1	25	13	495	148
1	25	14	449	134
1	25	15	309	159
1	25	16	184	115
1	25	17	57	38
1	25	18	0	0
1	25	19	0	0
1	25	20	0	0
1	25	21	0	0
1	25	22	0	0
1	25	23	0	0
1	25	24	0	0
1	26	1	0	0
1	26	2	0	0
1	26	3	0	0
1	26	4	0	0
1	26	5	0	0
1	26	6	0	0
1	26	7	0	0
1	26	8	60	46
1	26	9	223	96
1	26	10	367	119
1	26	11	474	128
1	26	12	531	131
1	26	13	531	131
1	26	14	474	128
1	26	15	367	119
1	26	16	223	96
1	26	17	60	46
1	26	18	0	0
1	26	19	0	0
1	26	20	0	0
1	26	21	0	0
1	26	22	0	0
1	26	23	0	0
1	26	24	0	0
1	27	1	0	0
1	27	2	0	0
1	27	3	0	0
1	27	4	0	0
1	27	5	0	0
1	27	6	0	0
1	27	7	0	0
1	27	8	6	5
1	27	9	39	34
1	27	10	38	33
1	27	11	55	47
1	27	12	70	60
1	27	13	70	60
1	27	14	74	63
1	27	15	44	38
1	27	16	39	34
1	27	17	15	13
1	27	18	0	0
1	27	19	0	0
1	27	20	0	0
1	27	21	0	0
1	27	22	0	0
1	27	23	0	0
1	27	24	0	0
1	28	1	0	0
1	28	2	0	0
1	28	3	0	0
1	28	4	0	0
1	28	5	0	0
1	28	6	0	0
1	28	7	0	0
1	28	8	18	16
1	28	9	72	66
1	28	10	71	65
1	28	11	27	24
1	28	12	32	29
1	28	13	134	122
1	28	14	190	173
1	28	15	90	82
1	28	16	71	64
1	28	17	17	16
1	28	18	0	0
1	28	19	0	0
1	28	20	0	0
1	28	21	0	0
1	28	22	0	0
1	28	23	0	0
1	28	24	0	0
1	29	1	0	0
1	29	2	0	0
1	29	3	0	0
1	29	4	0	0
1	29	5	0	0
1	29	6	0	0
1	29	7	0	0
1	29	8	20	16
1	29	9	59	48
1	29	10	149	120
1	29	11	126	102
1	29	12	18	14
1	29	13	265	213
1	29	14	187	151
1	29	15	163	131
1	29	16	107	86
1	29	17	39	31
1	29	18	0	0
1	29	19	0	0
1	29	20	0	0
1	29	21	0	0
1	29	22	0	0
1	29	23	0	0
1	29	24	0	0
1	30	1	0	0
1	30	2	0	0
1	30	3	0	0
1	30	4	0	0
1	30	5	0	0
1	30	6	0	0
1	30	7	0	0
1	30	8	49	35
1	30	9	184	100
1	30	10	332	120
1	30	11	378	173
1	30	12	444	172
1	30	13	392	205
1	30	14	448	120
1	30	15	292	146
1	30	16	237	63
1	30	17	70	33
1	30	18	0	0
1	30	19	0	0
1	30	20	0	0
1	30	21	0	0
1	30	22	0	0
1	30	23	0	0
1	30	24	0	0
1	31	1	0	0
1	31	2	0	0
1	31	3	0	0
1	31	4	0	0
1	31	5	0	0
1	31	6	0	0
1	31	7	0	0
1	31	8	41	35
1	31	9	185	119
1	31	10	330	146
1	31	11	488	105
1	31	12	553	98
1	31	13	409	233
1	31	14	209	177
1	31	15	169	143
1	31	16	130	110
1	31	17	35	30
1	31	18	0	0
1	31	19	0	0
1	31	20	0	0
1	31	21	0	0
1	31	22	0	0
1	31	23	0	0
